标题,播放数,链接
『华语女声』糟糕！是心动的感觉,862万,http://music.163.com/playlist?id=2259687728
有意思！这些歌的歌名居然对着唱反调,609万,http://music.163.com/playlist?id=2246886256
予你情诗百首，余生你是我的所有,976万,http://music.163.com/playlist?id=2230318386
〖纯音乐〗轻旋淡律，也可以抓住你的耳朵,508万,http://music.163.com/playlist?id=2235097256
【经典】聼一首老歌，想念一段时光,611万,http://music.163.com/playlist?id=2236351380
耳朵喜欢你 好听到可以单曲循环,1522万,http://music.163.com/playlist?id=2232237850
T台节奏BGM•听完这单 谁还不是个超模咋地?,703万,http://music.163.com/playlist?id=2216189440
感情变了质，等时间掩埋,718万,http://music.163.com/playlist?id=2215440866
你的青春里有没有属于你的一首歌？,2302万,http://music.163.com/playlist?id=2201879658
倾听100部电影，爱情的美丽与哀愁,544万,http://music.163.com/playlist?id=2203603614
你离开以后，我将自己活成了你的样子,534万,http://music.163.com/playlist?id=2205731441
重逢是始料未及丨回首又见你 流星花园,510万,http://music.163.com/playlist?id=2202374751
当进击节奏迷之出彩旋律Drum&Bass/Dubstep,555万,http://music.163.com/playlist?id=2202058359
点起一支烟，听一首粤语歌,659万,http://music.163.com/playlist?id=2197936899
夏天快要过去，牵你手买冰淇淋,602万,http://music.163.com/playlist?id=2199015597
这世上“所有”的歌,766万,http://music.163.com/playlist?id=2236353964
致回不去的校园，致那美好的曾经,769万,http://music.163.com/playlist?id=2182683172
100个悲伤的瞬间，有没有你的心酸？,1067万,http://music.163.com/playlist?id=2179646633
节奏带感且时尚性感<100首Fashion BGM>,928万,http://music.163.com/playlist?id=2173059435
熬夜和想你，我都该戒掉了,1549万,http://music.163.com/playlist?id=2163517726
于时间的长廊上 你再也不等我,1080万,http://music.163.com/playlist?id=2168895862
"""多少人以朋友的名义爱着一个人? """,846万,http://music.163.com/playlist?id=2162749304
论如何优雅的做个没有感情的大人,501万,http://music.163.com/playlist?id=2156205051
2018公告牌全球百大DJ/电音制作人！,687万,http://music.163.com/playlist?id=2153498917
我爱你 第一句是假的 第二句也是假的,1449万,http://music.163.com/playlist?id=2144281377
求求你们了，让我睡会儿好不好,996万,http://music.163.com/playlist?id=2131958935
节奏带感且深邃性感 ️️这才系Deep House呀,1059万,http://music.163.com/playlist?id=2139118830
岁月如潮水，将我向老歌推,1429万,http://music.163.com/playlist?id=2139305008
歌词唱透了心声，回忆模糊了眼眸,1546万,http://music.163.com/playlist?id=2139324915
一百首‖让你瞬间勾起回忆的老歌,531万,http://music.163.com/playlist?id=2134203011
台湾偶像剧黄金年代|记忆是阵阵花香,735万,http://music.163.com/playlist?id=2134421380
下次理发我要让我的Tony播放这个歌单,1451万,http://music.163.com/playlist?id=2120785460
【节奏控】那些一听就中毒的电音(纯音乐篇),579万,http://music.163.com/playlist?id=2120271089
纯音乐｜钢琴与旧书页，会跳舞的黑白键,547万,http://music.163.com/playlist?id=2099302296
玫瑰全都给你 可不可以把你给我？,578万,http://music.163.com/playlist?id=2097947168
『無前奏 | 女嗓』开口即跪 心醉神迷.,1608万,http://music.163.com/playlist?id=2089907261
赶走阴霾 来一首欢快的欧美小调,894万,http://music.163.com/playlist?id=2084738832
想要办一场古风婚礼，许一世天地作嫁,528万,http://music.163.com/playlist?id=2074273616
古风精选 你眼中是江湖 我眼中是你,644万,http://music.163.com/playlist?id=2074681032
「偶像练习生」参赛曲目(Nine Percent),701万,http://music.163.com/playlist?id=2070073302
只是想安静的 享受那份呼吸的感觉。o・°。,733万,http://music.163.com/playlist?id=2058497430
痛彻心扉地哭，然后刻骨铭心地记住,1182万,http://music.163.com/playlist?id=2059430694
百首日系抒情，总有一首触动你的心,621万,http://music.163.com/playlist?id=2048970456
『曲作精选』细数古风圈原创作曲人❶,774万,http://music.163.com/playlist?id=2041615881
每首都能单曲循环的国语,511万,http://music.163.com/playlist?id=2068672770
『致前任』我曾经很喜欢你 但也只能到这里,998万,http://music.163.com/playlist?id=2049424729
致巨蟹|想要拥抱你柔软的心,524万,http://music.163.com/playlist?id=2279327164
「上下班路上解压专用」,544万,http://music.163.com/playlist?id=2278070690
我这么可爱 要不要试着喜欢我,541万,http://music.163.com/playlist?id=2261011675
这么热的天 当然要勤洗头啦,870万,http://music.163.com/playlist?id=2258899307
同桌的你，曾是我期待上课的理由,662万,http://music.163.com/playlist?id=2253353419
在这复杂的世界里，你是我唯一的甜,529万,http://music.163.com/playlist?id=2237551072
还记得你的梦想吗？别让你的梦只有想,717万,http://music.163.com/playlist?id=2219770152
后来你哭了，想安慰却忘了早已换了身份,888万,http://music.163.com/playlist?id=2218171336
我最大的遗憾，是你的遗憾与我有关,936万,http://music.163.com/playlist?id=2201957752
不好意思，我又想骗你们谈恋爱了,611万,http://music.163.com/playlist?id=2188765627
后来，我们什么都有了，却没有了我们,511万,http://music.163.com/playlist?id=2181287762
「怦然心动」喜欢你头发的淡淡西瓜味,757万,http://music.163.com/playlist?id=2182092714
不怕汉子有文化，只怕他们有吉他,567万,http://music.163.com/playlist?id=2180739925
华语 | 我没有很想你，只是经常梦见你,587万,http://music.163.com/playlist?id=2172208421
「毕业将至」我最想和你做的六十一件事。,582万,http://music.163.com/playlist?id=2178572409
『武侠梦』我应在江湖悠悠，饮一壶浊酒,520万,http://music.163.com/playlist?id=2167679218
「亲爱的少年」你是我不能说的秘密,598万,http://music.163.com/playlist?id=2160550186
你不知道我多羡慕你特立独行的样子,544万,http://music.163.com/playlist?id=2154763064
以丧止丧 听一首把自己感动到哭的丧的歌,921万,http://music.163.com/playlist?id=2141039987
哼首欢快的歌 来拯救你的小确丧,809万,http://music.163.com/playlist?id=2144082923
仙人抚我顶，结发受长生。,735万,http://music.163.com/playlist?id=2132009349
再听这些歌时你已热泪盈眶，你曾是少年,662万,http://music.163.com/playlist?id=2128858806
致暗恋：陪伴是最怂的告白,679万,http://music.163.com/playlist?id=2127074784
听说把糖放在枕头底下会做一个甜甜的梦,841万,http://music.163.com/playlist?id=2091484707
多热烈的白羊，热烈的抽象。,592万,http://music.163.com/playlist?id=2088358594
偶像练习生_歌单合辑pick pick pick,666万,http://music.163.com/playlist?id=2070299050
你说你很累，可谁又活得顺风顺水,940万,http://music.163.com/playlist?id=2055724092
适合努力学习英语时听的歌曲,1266万,http://music.163.com/playlist?id=2015397679
人这一辈子，最怕突然听懂了一首歌。,1579万,http://music.163.com/playlist?id=2020864493
2018年六月最热新歌TOP50,849万,http://music.163.com/playlist?id=2295860315
